clean_text,skor_sentimen,bobot_kata,label_sentimen
nama kompol polisi lucu tanggung,-4.0,"[('nama', 0), ('kompol', 0), ('polisi', 0), ('lucu', -2.0), ('tanggung', -2.0)]",negatif
bicara profesor tonton lulus sekolah dasar plonga plongo,4.0,"[('bicara', 0), ('profesor', 0), ('tonton', -4.0), ('lulus', 5.0), ('sekolah', 3.0), ('dasar', 0), ('plonga', 0), ('plongo', 0)]",positif
harga bleduk neng,2.0,"[('harga', 3.0), ('bleduk', 0), ('neng', -1.0)]",positif
respect otto lawyer sukarelawan adil the best,-3.0,"[('respect', 0), ('otto', 0), ('lawyer', 0), ('sukarelawan', 0), ('adil', -3.0), ('the', 0), ('best', 0)]",negatif
mudah mudah sidang cari benar senar ilah sempat buka besar besar tegak aldilan indonesia tiada adi indonesia,-22.0,"[('mudah', -1.0), ('mudah', -1.0), ('sidang', -3.0), ('cari', -3.0), ('benar', -4.0), ('senar', 0), ('ilah', 0), ('sempat', 0), ('buka', -3.0), ('besar', -2.0), ('besar', -2.0), ('tegak', 0), ('aldilan', 0), ('indonesia', 0), ('tiada', -5.0), ('adi', 2.0), ('indonesia', 0)]",negatif
buka rakyat tuju,-7.0,"[('buka', -3.0), ('rakyat', 0), ('tuju', -4.0)]",negatif
jemput orang pakai batas selesai jelas potong host narasumber jeli hormat narsum host potong jelas narasumber panggil jelas dengar tahan soal lanjut host perempuan sih paksa inti narasumber bincang hukum narsumbernya anak sekolah tes pilih a b sih,-37.0,"[('jemput', 0), ('orang', 0), ('pakai', 0), ('batas', -3.0), ('selesai', -4.0), ('jelas', -3.0), ('potong', -2.0), ('host', 0), ('narasumber', 0), ('jeli', -3.0), ('hormat', 0), ('narsum', 0), ('host', 0), ('potong', -2.0), ('jelas', -3.0), ('narasumber', 0), ('panggil', -1.0), ('jelas', -3.0), ('dengar', 2.0), ('tahan', -2.0), ('soal', -1.0), ('lanjut', -5.0), ('host', 0), ('perempuan', 0), ('sih', 0), ('paksa', -4.0), ('inti', 0), ('narasumber', 0), ('bincang', 2.0), ('hukum', -3.0), ('narsumbernya', 0), ('anak', -3.0), ('sekolah', 3.0), ('tes', 0), ('pilih', -2.0), ('a', 0), ('b', 0), ('sih', 0)]",negatif
hati beli kawan suruh saksi bohong saksi atur kawan terima uang tuhan kawan,-9.0,"[('hati', -2.0), ('beli', -3.0), ('kawan', 0), ('suruh', -2.0), ('saksi', 1.0), ('bohong', -5.0), ('saksi', 1.0), ('atur', -4.0), ('kawan', 0), ('terima', 2.0), ('uang', 0), ('tuhan', 3.0), ('kawan', 0)]",negatif
paksa aku bikin orang buat,-4.0,"[('paksa', -4.0), ('aku', -1.0), ('bikin', 0), ('orang', 0), ('buat', 1.0)]",negatif
amat jessica bikin laku mati mirna,-1.0,"[('amat', 4.0), ('jessica', 0), ('bikin', 0), ('laku', 0), ('mati', -5.0), ('mirna', 0)]",negatif
autopsi keluarga mirna mengijinkan autopsi keluarga mirna rencana pasu sianida alat selang pakai sianida taruh ujung selang selang masuk mulut mirna perlahan lahan mentok lambung tiup selang pelan sianida ujung selang itukeluar lambung utu ayah mi rna izin autopsi bilang sianida atur rapi autopsi atur rapi mulus mati sianida atur,-50.0,"[('autopsi', 0), ('keluarga', -3.0), ('mirna', 0), ('mengijinkan', 0), ('autopsi', 0), ('keluarga', -3.0), ('mirna', 0), ('rencana', -4.0), ('pasu', 0), ('sianida', 0), ('alat', 0), ('selang', 0), ('pakai', 0), ('sianida', 0), ('taruh', 4.0), ('ujung', -3.0), ('selang', 0), ('selang', 0), ('masuk', -3.0), ('mulut', -1.0), ('mirna', 0), ('perlahan', 0), ('lahan', 0), ('mentok', -5.0), ('lambung', 2.0), ('tiup', -3.0), ('selang', 0), ('pelan', 0), ('sianida', 0), ('ujung', -3.0), ('selang', 0), ('itukeluar', 0), ('lambung', 2.0), ('utu', 0), ('ayah', 0), ('mi', 0), ('rna', 0), ('izin', -4.0), ('autopsi', 0), ('bilang', 0), ('sianida', 0), ('atur', -4.0), ('rapi', -2.0), ('autopsi', 0), ('atur', -4.0), ('rapi', -2.0), ('mulus', -5.0), ('mati', -5.0), ('sianida', 0), ('atur', -4.0)]",negatif
roy kena sogok,-7.0,"[('roy', 0), ('kena', -3.0), ('sogok', -4.0)]",negatif
roy panci kutik telanjang bang rismon sianipar tempoh sidang jessica olah roy panci tantang debat terbukah bang rismon umpet,-1.0,"[('roy', 0), ('panci', 0), ('kutik', 0), ('telanjang', 0), ('bang', 0), ('rismon', 0), ('sianipar', 0), ('tempoh', 3.0), ('sidang', -3.0), ('jessica', 0), ('olah', 0), ('roy', 0), ('panci', 0), ('tantang', -4.0), ('debat', 3.0), ('terbukah', 0), ('bang', 0), ('rismon', 0), ('umpet', 0)]",negatif
sok sih ro i,0.0,"[('sok', 0), ('sih', 0), ('ro', 0), ('i', 0)]",netral
hai ro i ahli ro i ahli bohong iya omong ro i,-6.0,"[('hai', 3.0), ('ro', 0), ('i', 0), ('ahli', 0), ('ro', 0), ('i', 0), ('ahli', 0), ('bohong', -5.0), ('iya', 0), ('omong', -4.0), ('ro', 0), ('i', 0)]",negatif
