publishedAt,authorDisplayName,textDisplay,likeCount
2024-05-20T04:24:38Z,@noerhadi3238,"NAMANYA &quot; KOMPOL DARI POLISI &quot; JUGA.... KIRA2 JADI LUCU TIDAK  ,<br>KALAU  MENYATAKAN TIDAK TAU <br>HAL2 YG JADI TANGGUNG JAWAB NYA   ? 🤗😃😜🤓👍💪<br>😊🤗😃😃😜🤓",0
2024-05-19T15:15:15Z,@wa_godit18,Yg ngomong Prof/Dr<br>.<br>Yg nonton lulusan SD &#39;<br>.<br>Planga plongo 🤣,0
2024-05-18T18:54:59Z,@wantoanugrah4812,Menhargai bleduk neng...,0
2024-05-18T12:25:10Z,@adiputra4194,Respect buat bpk otto dan lawyer lain yg sukarelawan demi keadilan. The best👍👍,1
2024-05-18T01:31:51Z,@sitisalmah7583,Mudamudahan di persidang lagi<br>Untuk mencari kebenaran yang senar <br>Berilah kesempatan berbukalah kamu pebesar pembesar yang menegak ke aldilan di Indonesia <br>Tiada ke adilah do Indonesia??,0
2024-05-17T14:41:16Z,@supriae3798,"Di buka kembali, rakyat banyak yg setuju",0
2024-05-15T18:34:54Z,@serraaleeya5847,"1. jemputan 8 orang, tp pake batas waktu. belum kelar penjelasannya, udah dipotong2 sama host.<br>2. seharusnya bagi masa kpd setiap seorang narsum, agar mereka jeli dgn waktu dan menghormati waktu² narsum² yg lainnya.<br>3. Host seharusnya jgn slalu potong penjelasan narsum. mereka kan d panggil utk memberi penjelasan, harus d dengar dong. tahan2 aja dulu jika ada soalan lanjutan yg ingin dipertanya.<br>4. yg host perempuannya knapa sih memaksa terus ke inti persoalan? kan masih sedang dijelaskan oleh narsum? ini kan perbincangan hukum, narsumnya bukan anak sekolah yg diberikan test yg cuman punya pilihan jawaban A,B,C,D..",0
2024-05-15T05:15:38Z,@sudartolo3127,hati seseorang bisa di beli kawan.di suruh jadi saksi bohong/jadi saksi yg lain pun.semua bisa di atur kawan.tapi tdk terima uang itu.ingat tuhan selalu menliat kawan,0
2024-05-15T04:47:25Z,@user-nf5er5ud5s,Bagaimana mau dipaksakan mengaku klw BKN orgnya yg. berbuat,0
2024-05-15T04:32:51Z,@user-nf5er5ud5s,Klw kami mengamati kami yakin Jessica BKN pelaku kematian Mirna.,0
2024-05-13T16:49:26Z,@andiandika5169,Sudah beberapa hari br mau diatopsi benar itu tp kan itu keluarga mirna  mengijinkan bisa dioutopsi kerena keluarga .mirna sudah ada rencana memasukan Suanida dgn cara melalui alat2 seperti Selang kecil yg dipakai dan sianida itu ditaruh diujung selang  baru selang dimasukin kemulut mirna secara perlahan lahan sampai mentok  lambung br ditiup selang itu pelan2 pasti sianida diujung selang itukeluar dilambung maka  dr utu ayah mi rna ijinkan tuk autopsi pasti bilang nah ini ada sianida kerena sudah diatur dgn rapi kenapa hari pertama tidak ada autopsi kan semua sudah diatur dgn rapi dan mulus supaya matinya dgn sianida semua bisa diatur.,0
2024-05-13T16:30:45Z,@andiandika5169,Roy jg ini sudah kena sogok,0
2024-05-13T15:15:40Z,@marjanirodiah4569,"Roy Panci sekarang tidak bisa <br>Berkutik lagi,di Telanjangi bang<br>Rismon Sianipar, tempoh hari<br>Waktu disidang Jesica 2016,<br>Se olah Roy Panci yg paling benar, sekarang di Tantang debat terbukah oleh bang Rismon malah ngumpet,",0
2024-05-13T14:51:55Z,@taufikboeng5367,So tau si Ro’i ini😂,0
2024-05-13T14:44:10Z,@taufikboeng5367,"Hai rO,i anda ahli apa rO,i ahli bohong ya banyak omong loh Ro&#39;i",0
2024-05-13T14:41:36Z,@taufikboeng5367,Ro&#39;i penjilat nyari duit tuh,0
2024-05-13T01:26:04Z,@user-bt2xp3nt1c,Mantan menteri yg satu satu nya mantan masuk penjaramenteri apa menteri yg tidak becus,0
2024-05-12T10:30:23Z,@d4_moovit,Pak polisi. Simpel aja. Periksa dvr cctv olivier. Jgn cctv dari flashdisc.,0
2024-05-12T04:40:12Z,@31P_Management,Roy bisa suruh kluar aj gak sih??<br>Malah nglantur ngomong ny.<br>Sok asik roy2..,0
2024-05-12T04:34:00Z,@31P_Management,Sok tau Roy2!!,0
2024-05-10T19:02:40Z,@AbilioPires-nb9db,Kalau tidak diijinkan autopsi kenapa harus dihukum?,0
2024-05-10T10:53:20Z,@adenwirosableng5062,Jangan sampai seperti kasus yosep di subang<br>Jangan sampai orang tak bersalah jadi kambing hitam. Demi kepentingan pribadi,0
2024-05-10T04:38:53Z,@Elly-gw9oq,Roi surya siap siap pakai baju orange! Tolong dipriksa setelah Jesica masuk penjara roi tambah kaya ga ?.😊😊,1
